Action ID,Action Name,Owner(s),Deadline,Priority,Phase,Week,Status,Completion %,Description,Success Criteria,Dependencies,Blockers,Last Updated,Notes
1,Ryan Niderno Intro Call,"Naga, Jack",2/10/2026,CRITICAL,WEEKS 1-2,1-2,Not Started,0%,Warm intro call via Mark or Kumar. Establish relationship and identify pain points.,Ryan agrees to quarterly reviews; Identifies 2-3 pain points,Mark or Kumar intro arranged,None,2/3/2026,Make intro through Mark or Kumar; not cold outreach
2,Kumar Deep-Dive Call,Naga,2/13/2026,HIGH,WEEKS 1-2,1-2,Not Started,0%,1:1 with Kumar to understand Ryan's context and org dynamics.,Kumar advocates for OvalEdge; Org chart + decision process clarified,ACTION 1 started,None,2/3/2026,Intelligence gathering call; use Kumar as translator
3,Mark Marshalek Org Chart Validation,Naga,2/16/2026,HIGH,WEEKS 1-2,1-2,Not Started,0%,Validate org chart; identify AI Council members; confirm budget process.,Org chart updated; AI Council member list obtained; Budget process documented,ACTION 1 & 2 context,None,2/3/2026,Data gathering for subsequent targeting
4,Marketplace Governance Workshop (2-Day),Naga + Solutions Architect,3/8/2026,CRITICAL,WEEKS 3-6,3-4,Not Started,0%,2-day executive workshop with Ryan/Kumar/Mark and data product owners. Co-design governance model and certification workflows.,$101K proposal drafted; Verbal commitment from Ryan; 3-5 pilot products identified,ACTION 1-3 completed,Workshop dates confirmed,2/3/2026,High-value consulting engagement; shows we listen to priorities
5,UI/UX Quick Win Training,Jack + Pradip,2/24/2026,CRITICAL,WEEKS 3-6,3,Not Started,0%,2-hour power-user training on advanced search; API enablement; custom dashboards.,Training session conducted; 80% attendee satisfaction; 3+ power users active within 2 weeks,Ryan relationship established,None,2/3/2026,Immediate fix for 'clunky' perception; prevents escalation
6,askEdgi Pilot Proposal (50 users),Naga + askEdgi PM,3/1/2026,CRITICAL,WEEKS 3-6,3-4,Not Started,0%,Develop 50-user askEdgi pilot proposal (60 days; Apr 1 - May 31). Focus on automated DQ + marketplace discovery.,Proposal presented; Pilot approved (verbal/written); 50 users identified; Apr 1 launch locked,ACTION 1-3; ACTION 4 context,None,2/3/2026,DIFFERENTIATOR vs. Alation; unique capability
7,DQ Expansion Assessment Workshop,Pradip + DQ PM,3/10/2026,HIGH,WEEKS 3-6,4-5,Not Started,0%,Workshop to identify 5-8 priority data sources. Prioritize by impact and risk. Design automated DQ rules.,$149K proposal drafted; 5-8 sources identified; Agreement to add 5+ connectors,ACTION 1-3,None,2/3/2026,Operational value play; only 2 connectors today = 5x upside
8,Paul Wilson Executive Briefing (COO),VP CS + Naga,3/30/2026,CRITICAL,WEEKS 7-10,7-9,Not Started,0%,30-minute strategic briefing with COO. Position as executive sponsor. Discuss transformation ROI and CEO alignment.,Meeting completed; Paul agrees to be sponsor; Commits to quarterly reviews,ACTION 4-6 proof points,None,2/3/2026,Paul is THE lever; COOs care about transformation outcomes + execution risk
9,askEdgi Pilot Launch (LIVE),Jack + askEdgi PM,4/1/2026,CRITICAL,WEEKS 7-10,9-13,Not Started,0%,Launch 50-user askEdgi pilot. 60-day duration (Apr 1 - May 31). Track adoption; usage; NPS; testimonials.,All 50 users onboarded; 80% activation (40+ active); 10+ queries/user/week; NPS 60+; 3+ exec testimonials,ACTION 6 approval; ACTION 8 air cover,None,2/3/2026,PROOF OF CONCEPT; usage data is best defense vs. competitive eval
10,AI Council askEdgi Demo,Naga + Solutions Architect,3/25/2026,HIGH,WEEKS 7-10,8-9,Not Started,0%,45-minute demo to AI Council on AI governance; model lineage; PII compliance; automated DQ.,Demo delivered to full AI Council; $131K proposal presented; Council requests enterprise rollout,ACTION 1-3 contact list; ACTION 6,None,2/3/2026,AI Council cares about compliance; model transparency; PII protection
11,SaaS Transition Planning Kickoff,Pradip + Professional Services,4/5/2026,HIGH,WEEKS 7-10,8-10,Not Started,0%,SaaS migration planning. Readiness assessment. Define phased timeline; hypercare; resource allocation.,Readiness assessment completed; Timeline agreed (Q3-Q4); $99.5K SOW signed; Resource plan locked,ACTION 1-3; ACTION 4-8 momentum,None,2/3/2026,Get SOW signed while momentum high; de-risks migration risk
12,Q1 Quarterly Business Review,Naga + Jack,4/20/2026,CRITICAL,WEEKS 11-13,11-12,Not Started,0%,Q1 QBR with Ryan; Kumar; Mark; Paul Wilson. Review execution; askEdgi results; services roadmap; renewal opportunity.,QBR conducted; NPS 80+; Verbal renewal commitment; Pilot results presented; CFO briefing requested,ACTION 9 results; ACTION 4,6,7,11 progress,None,2/3/2026,Turning point; after QBR; renewal should feel inevitable
13,Renewal Business Case Documentation,Naga + VP CS,4/25/2026,HIGH,WEEKS 11-13,12-13,Not Started,0%,Document internal renewal business case. Current state; proposed expansion; services value; ROI; investment ask.,Business case documented; Approved by OvalEdge leadership; Ready for customer presentation,ACTION 4-11 progress,None,2/3/2026,Know OUR number before we present to them
14,CFO Introduction (if needed),VP CS,5/1/2026,MEDIUM,WEEKS 11-13,13,Not Started,0%,CFO (John Griek) introduction via Paul or Ryan. Present ROI; budget requirements; investment ask.,Meeting completed (if needed); ROI presented; CFO verbal commitment to budget; No pricing objections,ACTION 12 completion,Conditional,2/3/2026,CFOs are allies once they understand ROI; not a threat
